account_number,facility_name,risk,facility_type,inspection_date,inspector,site_name,address,violation_code,violation_weight,violation_comment,correct_by,score,attachment,number_of_employees,permit_type,activity_type
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.1(b)(4),4,Not using pasteurized eggs or egg products to substitute raw shell eggs in preparation of food (mayonnaise).,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.2(a)(1),4,"Measured internal temperature of potentially hazardous food (chicken, pork) not held at 41° F. (5°C) or below or at 135° F. (60° C) or above while being stored / prepared / displayed.",9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.2(a)(2)b,2,Potentially hazardous food using time only as a public health control found in unmarked containers or packages or the time has expired not discarded. Observed month of July as last entry on log sheets. Citation issued.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.2(b)(3)b,3,Observed raw meat stored above produce and cooked foods in refrigerated equipment. Store all raw meats on bottom shelf to prevent cross contamination.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.3(c)(1),2,Raw food (beef) removed from original containers / packages being stored in unapproved food container. Discontinue using grocery bags to store raw meat products. Provide approved food container.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.4(f)(2),2,Prohibited hot food holding facility (steam table) used for rapid reheating of potentially hazardous food. Observed frozen chicken being thawed on steam table.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.9(a),2,"Observed Employee drinking from an open beverage container in a manner which contaminates employees hands, exposed food, clean equipment / utensils, linen, unwrapped single-service articles. Employees may drink from a covered nonspillable container only.",9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.10(a),3,"Remove and discontinue using tape on door in kitchen. Provide materials to be smooth, nonabsorbent and easily cleanable.",9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.19(a),1,Hand-washing sink being used for purpose besides hand-washing. Observed employees washing dishes and produce in hand lavatory. Hand-washing sink shall be for hand-washing only.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.23(a),1,"Wall / Ceiling not maintained in good repair: 1. Provide wall behind mop sink to be smooth, nonabsorbent and easily cleanable. 2. Provide approved ceiling tiles above food preparation and food storage areas.",9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.24(a),1,Not providing at least 50 foot-candles (540 lux) of light to working surface where food / utensils / equipment are utilized. Maintain adequate lighting in food preparation/storage and utensil washing areas. Replace light shield above food prep area where hole observed exposing bulbs.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-21.25(b)(3),1,Ventilation hood without filters located adjacent to intake/ exhaust openings. Provide filters adjacent to intake / exhaust openings. Observed filter removed in vent hood in kitchen while equipment was in use.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
211186,LES GIVRAL'S SANDWICH & CAFE,3,(001) Restaurant - Full Service,9/11/2013,Gene Bowden,Kitchen,"2704 MILAM, HOUSTON, TX 77006",20-53(b),3,Observed person-in-charge operating a food establishment without having in his possession a Food Service Manager's Certification. Provide a food service manager to be on duty during all hours of operation. Citation issued.,9/11/2013,5,NO,10,"F,G",Routine Inspection (001)
414649,THE MOON TOWER INN,3,(002) Restaurant - Single Service,7/15/2013,Remonda Robinson,KITCHEN,"3004 CANAL ST, HOUSTON, TX 77003",20-36(a),1,Post food dealer's permit in public view.,7/22/2013,1,NO,6,"F,G",Routine Inspection (001)
414649,THE MOON TOWER INN,3,(002) Restaurant - Single Service,7/15/2013,Remonda Robinson,KITCHEN,"3004 CANAL ST, HOUSTON, TX 77003",20-53(b),3,Take Learn2Serve certification to 8000 N. Stadium along with $36.98 and a picture I.D. to receive a City of Houston certification card.,7/22/2013,1,NO,6,"F,G",Routine Inspection (001)
419764,CUCHARA RESTAURANT,3,(001) Restaurant - Full Service,10/17/2013,Gene Bowden,ESTABLISHMENT,"214 FAIRVIEW STE 1, HOUSTON, TX 77006",20-21.2 (c )(4)c,4,Documentation not maintained at the food establishment for food employee bare hand contact with ready-to-eat foods . Provide documentation or utilize gloves/utensils to serve chips.,10/17/2013,3,NO,15,"F,G",Routine Inspection (001)
419764,CUCHARA RESTAURANT,3,(001) Restaurant - Full Service,10/17/2013,Gene Bowden,ESTABLISHMENT,"214 FAIRVIEW STE 1, HOUSTON, TX 77006",20-21.10(a),2,"QUARANTINE EQUIPMENT: discontinue using ceramic pottery labeled ""not for foods"". Provide materials that are approved for food contact surfaces.",10/17/2013,3,NO,15,"F,G",Routine Inspection (001)
419764,CUCHARA RESTAURANT,3,(001) Restaurant - Full Service,10/17/2013,Gene Bowden,ESTABLISHMENT,"214 FAIRVIEW STE 1, HOUSTON, TX 77006",20-21.15(f),4,Ice not protected by making machine for ice to be maintained to prevent contamination of the ice. Observed pink slime in the ice machine.,10/17/2013,3,NO,15,"F,G",Routine Inspection (001)
419764,CUCHARA RESTAURANT,3,(001) Restaurant - Full Service,10/17/2013,Gene Bowden,ESTABLISHMENT,"214 FAIRVIEW STE 1, HOUSTON, TX 77006",20-21.19(g),1,Hand-washing sign / icon / poster not posted / visible at all hand-washing sinks used by food employees in the restrooms and the food prep areas.,10/17/2013,3,NO,15,"F,G",Routine Inspection (001)
